FPR,TPR,Threshold
0.0,0.0,1.9622850955798996
0.0,0.009259259259259259,0.9622850955798996
0.0,0.05555555555555555,0.9073305043971656
0.016129032258064516,0.05555555555555555,0.9025394422456228
0.016129032258064516,0.06481481481481481,0.8934640986492721
0.03225806451612903,0.06481481481481481,0.888269296923689
0.03225806451612903,0.08333333333333333,0.8853779058603392
0.04838709677419355,0.08333333333333333,0.8853421098727153
0.04838709677419355,0.14814814814814814,0.8778787577510844
0.06451612903225806,0.14814814814814814,0.876486484620305
0.06451612903225806,0.25925925925925924,0.8712999487246873
0.08064516129032258,0.25925925925925924,0.868766087971209
0.08064516129032258,0.3055555555555556,0.8609641428418501
0.0967741935483871,0.3055555555555556,0.8596953253252897
0.0967741935483871,0.37037037037037035,0.8450316805998452
0.12903225806451613,0.37037037037037035,0.8399655006432771
0.12903225806451613,0.3888888888888889,0.828420292852985
0.14516129032258066,0.3888888888888889,0.8206939472375934
0.14516129032258066,0.4074074074074074,0.7996257158872718
0.1935483870967742,0.4074074074074074,0.7868689323119195
0.1935483870967742,0.46296296296296297,0.7636531717024837
0.20967741935483872,0.46296296296296297,0.7633596499106555
0.20967741935483872,0.5092592592592593,0.7560245737156
0.22580645161290322,0.5092592592592593,0.7545183508645301
0.22580645161290322,0.5648148148148148,0.7409911117753029
0.24193548387096775,0.5648148148148148,0.7399317760268473
0.24193548387096775,0.5740740740740741,0.7398003410332867
0.25806451612903225,0.5740740740740741,0.7395279199988266
0.25806451612903225,0.5833333333333334,0.7392108694482535
0.3064516129032258,0.5833333333333334,0.7361124484507683
0.3064516129032258,0.6018518518518519,0.7346998776359233
0.3225806451612903,0.6018518518518519,0.7326944731729876
0.3225806451612903,0.6759259259259259,0.7237337887108742
0.3387096774193548,0.6759259259259259,0.7230052521972323
0.3387096774193548,0.8518518518518519,0.6978162780194563
0.3709677419354839,0.8518518518518519,0.6965631561074361
0.3709677419354839,0.8611111111111112,0.6964344311207169
0.3870967741935484,0.8611111111111112,0.6951814224535099
0.3870967741935484,0.8703703703703703,0.695150872548145
0.4032258064516129,0.8703703703703703,0.6946944291563908
0.4032258064516129,0.9629629629629629,0.6596445522208398
0.41935483870967744,0.9629629629629629,0.653205963772287
0.41935483870967744,0.9814814814814815,0.6361497392398844
0.43548387096774194,0.9814814814814815,0.6255921433779323
0.43548387096774194,1.0,0.6241304345887735
1.0,1.0,0.08349119479960247
